Ticket Created Date,Total Tickets Opened,Subscription Order Count,Non Subscription Order Count,Subscription Customer Count,Non Subscription Customer Count
4/21/2016,533,984,507,239,240
4/20/2016,658,6035,485,225,210
4/19/2016,778,2450,500,196,231
4/18/2016,743,2502,527,192,240
4/17/2016,925,3080,488,217,209
4/16/2016,793,3347,529,193,239
4/15/2016,468,806,503,206,220
4/14/2016,623,892,443,213,199
4/13/2016,611,5280,478,186,206
4/12/2016,774,2348,453,160,191
4/11/2016,778,2805,483,176,200
4/10/2016,849,3048,455,185,191
4/9/2016,817,2954,494,173,210
4/8/2016,462,825,417,195,180
4/7/2016,570,787,337,174,151
4/6/2016,681,5473,476,214,190
4/5/2016,590,2738,423,192,204
4/4/2016,684,2490,507,211,218
4/3/2016,1112,2820,580,221,234
4/2/2016,827,2815,548,197,236
4/1/2016,435,955,485,247,226
3/31/2016,432,848,406,208,191
3/30/2016,717,5204,532,241,235
3/29/2016,936,2401,497,221,209
3/28/2016,966,2774,564,176,249
3/27/2016,1734,3023,575,207,251
3/26/2016,694,3319,639,218,272
3/25/2016,360,894,594,256,274
3/24/2016,354,726,425,196,205
3/23/2016,646,5416,545,189,225
3/22/2016,600,3003,515,170,208
3/21/2016,685,2542,513,196,206
3/20/2016,795,2882,521,199,215
3/19/2016,408,3024,476,195,220
3/18/2016,381,917,478,183,182
3/17/2016,366,755,396,165,194
3/16/2016,578,5151,497,168,210
3/15/2016,518,2794,478,192,205
3/14/2016,588,2426,517,153,249
3/13/2016,731,2873,610,163,245
3/12/2016,790,2680,585,196,256
3/11/2016,435,700,582,191,244
3/10/2016,419,562,490,138,239
3/9/2016,618,5157,570,185,243
3/8/2016,728,2312,555,169,267
3/7/2016,686,2359,573,173,301
3/6/2016,898,2741,706,206,319
3/5/2016,825,2656,584,174,266
3/4/2016,459,653,536,159,242
3/3/2016,455,552,483,136,215
3/2/2016,632,4522,552,186,233
3/1/2016,712,1997,596,198,260
2/29/2016,753,2907,595,191,270
2/28/2016,871,2658,760,211,270
2/27/2016,857,2696,640,181,265
2/26/2016,463,719,757,194,326
2/25/2016,529,629,490,173,221
2/24/2016,703,5341,662,219,273
2/23/2016,700,2051,636,203,288
2/22/2016,745,2281,616,201,257
2/21/2016,968,3181,702,242,325
2/20/2016,806,3190,631,210,296
2/19/2016,459,644,645,181,288
2/18/2016,471,649,526,183,260
2/17/2016,700,5028,619,214,260
2/16/2016,738,2558,611,179,285
2/15/2016,832,2795,635,226,295
2/14/2016,932,2775,762,244,326
2/13/2016,837,2708,663,216,301
2/12/2016,567,721,605,220,300
2/11/2016,493,629,515,208,261
2/10/2016,715,4736,772,289,348
2/9/2016,711,2765,688,268,338
2/8/2016,838,2501,717,264,320
2/7/2016,987,2828,791,244,323
2/6/2016,882,2461,730,243,331
2/5/2016,549,937,820,298,393
2/4/2016,478,583,621,174,301
2/3/2016,689,4533,414,153,192
2/2/2016,665,2253,565,151,251
2/1/2016,720,2571,605,181,261
1/31/2016,920,2568,635,184,275
1/30/2016,900,2414,564,178,248
1/29/2016,479,777,580,262,289
1/28/2016,578,656,608,212,325
1/27/2016,679,5186,666,192,302
1/26/2016,808,1935,654,195,298
1/25/2016,790,2289,587,196,292
1/24/2016,819,2327,626,192,275
1/23/2016,931,2969,609,199,285
1/22/2016,390,635,655,172,246
1/21/2016,491,593,479,146,214
1/20/2016,632,5050,557,186,233
1/19/2016,723,2356,581,174,284
1/18/2016,717,2588,535,146,234
1/17/2016,829,2771,538,155,239
1/16/2016,802,2204,587,158,249
1/15/2016,544,883,792,210,279
1/14/2016,614,721,567,135,239
1/13/2016,808,4895,766,169,270
1/12/2016,1162,2991,914,200,308
1/11/2016,868,2450,657,218,289
1/10/2016,976,2384,671,214,263
1/9/2016,956,2180,604,164,269
1/8/2016,579,681,715,223,332
1/7/2016,601,610,525,184,260
1/6/2016,750,4667,646,181,292
1/5/2016,833,2316,644,228,286
1/4/2016,844,2809,604,152,269
1/3/2016,973,2522,742,172,290
1/2/2016,851,2384,571,161,231
1/1/2016,455,879,680,297,349
12/31/2015,477,753,684,255,367
12/30/2015,567,4764,646,241,287
12/29/2015,750,2243,674,266,302
12/28/2015,662,2330,629,243,307
12/27/2015,988,2571,704,256,317
12/26/2015,964,2585,703,277,332
12/25/2015,568,923,822,323,381
12/24/2015,565,778,631,254,346
12/23/2015,743,4943,704,254,325
12/22/2015,841,3119,561,226,276
12/21/2015,944,3054,653,269,329
12/20/2015,985,2957,657,234,307
12/19/2015,1011,2432,694,252,297
12/18/2015,699,1041,840,351,372
12/17/2015,626,839,666,319,325
12/16/2015,739,4514,686,277,303
12/15/2015,858,2718,617,263,268
12/14/2015,870,2294,548,228,254
12/13/2015,1068,2471,712,214,286
12/12/2015,890,1989,641,212,288
12/11/2015,586,820,743,285,349
12/10/2015,598,783,650,273,341
12/9/2015,792,3986,689,238,306
12/8/2015,799,2029,637,254,304
12/7/2015,832,3092,491,180,235
12/6/2015,924,2589,672,232,290
12/5/2015,953,2069,716,237,344
12/4/2015,560,842,772,295,366
12/3/2015,583,809,680,279,360
12/2/2015,755,4718,671,265,333
12/1/2015,845,1930,617,234,346
11/30/2015,832,1988,695,267,375
11/29/2015,1070,2352,735,297,378
11/28/2015,1063,1975,632,247,315
11/27/2015,848,1424,1359,387,465
11/26/2015,636,908,759,438,490
11/25/2015,846,4290,641,306,359
11/24/2015,907,2947,717,307,386
